0 12 4 8 68.8186 71.218 65.6049 68.1175 62.482 65.1153 
12 0 8 4 62.6099 64.4981 59.0593 61.0574 55.5698 57.6888 
4 8 0 4 66.5733 68.8186 63.2456 65.6049 60 62.482 
8 4 4 0 64.4981 66.5733 61.0574 63.2456 57.6888 60 
68.8186 62.6099 66.5733 64.4981 0 4 4 5.65685 8 8.94427 
71.218 64.4981 68.8186 66.5733 4 0 5.65685 4 8.94427 8 
65.6049 59.0593 63.2456 61.0574 4 5.65685 0 4 4 5.65685 
68.1175 61.0574 65.6049 63.2456 5.65685 4 4 0 5.65685 4 
62.482 55.5698 60 57.6888 8 8.94427 4 5.65685 0 4 
65.1153 57.6888 62.482 60 8.94427 8 5.65685 4 4 0 
