0 12 4 12.6491 8 14.4222 12 16.9706 16 20 4 16.4924 8 17.8885 88.5438 89.8888 84.7585 86.1626 96.7471 80.895 97.3242 81.5843 98.0612 82.4621 92.7793 94.1488 88.8144 90.2441 84.8528 86.3481 120.067 120.599 120.266 72.111 84.3801 72.4431 80.399 76.4199 124.193 108.812 
12 0 12.6491 4 14.4222 8 16.9706 12 20 16 8 17.8885 4 16.4924 85.5102 86.3481 81.5843 82.4621 108.665 92.7793 109.179 93.3809 109.836 94.1488 104.69 105.906 100.717 101.98 96.7471 98.0612 120.266 120 120.067 84.0952 96.3328 84.3801 92.3472 88.3629 135.823 120.333 
4 12.6491 0 12 4 12.6491 8 14.4222 12 16.9706 5.65685 12.6491 8.94427 14.4222 92.3472 93.6376 88.5438 89.8888 96.3328 80.399 96.7471 80.895 97.3242 81.5843 92.3472 93.3809 88.3629 89.4427 84.3801 85.5102 124.064 124.579 124.258 72 84.0952 72.111 80.0999 76.1052 123.223 107.703 
12.6491 4 12 0 12.6491 4 14.4222 8 16.9706 12 8.94427 14.4222 5.65685 12.6491 89.4427 90.2441 85.5102 86.3481 108.296 92.3472 108.665 92.7793 109.179 93.3809 104.307 105.224 100.319 101.272 96.3328 97.3242 124.258 124 124.064 84 96.0833 84.0952 92.0869 88.0909 134.937 119.331 
8 14.4222 4 12.6491 0 12 4 12.6491 8 14.4222 8.94427 8.94427 11.3137 11.3137 96.1665 97.4064 92.3472 93.6376 96.0833 80.0999 96.3328 80.399 96.7471 80.895 92.0869 92.7793 88.0909 88.8144 84.0952 84.8528 128.062 128.561 128.25 72.111 84 72 80 76 122.376 106.733 
14.4222 8 12.6491 4 12 0 12.6491 4 14.4222 8 11.3137 11.3137 8.94427 8.94427 93.3809 94.1488 89.4427 90.2441 108.074 92.0869 108.296 92.3472 108.665 92.7793 104.077 104.69 100.08 100.717 96.0833 96.7471 128.25 128 128.062 84.0952 96 84 92 88 134.164 118.457 
12 16.9706 8 14.4222 4 12.6491 0 12 4 12.6491 12.6491 5.65685 14.4222 8.94427 100 101.193 96.1665 97.4064 96 80 96.0833 80.0999 96.3328 80.399 92 92.3472 88 88.3629 84 84.3801 132.061 132.544 132.242 72.4431 84.0952 72.111 80.0999 76.1052 121.655 105.906 
16.9706 12 14.4222 8 12.6491 4 12 0 12.6491 4 14.4222 8.94427 12.6491 5.65685 97.3242 98.0612 93.3809 94.1488 108 92 108.074 92.0869 108.296 92.3472 104 104.307 100 100.319 96 96.3328 132.242 132 132.061 84.3801 96.0833 84.0952 92.0869 88.0909 133.507 117.712 
16 20 12 16.9706 8 14.4222 4 12.6491 0 12 16.4924 4 17.8885 8 103.846 104.995 100 101.193 96.0833 80.0999 96 80 96.0833 80.0999 92.0869 92.0869 88.0909 88.0909 84.0952 84.0952 136.059 136.528 136.235 72.9932 84.3801 72.4431 80.399 76.4199 121.062 105.224 
20 16 16.9706 12 14.4222 8 12.6491 4 12 0 17.8885 8 16.4924 4 101.272 101.98 97.3242 98.0612 108.074 92.0869 108 92 108.074 92.0869 104.077 104.077 100.08 100.08 96.0833 96.0833 136.235 136 136.059 84.8528 96.3328 84.3801 92.3472 88.3629 132.966 117.098 
4 8 5.65685 8.94427 8.94427 11.3137 12.6491 14.4222 16.4924 17.8885 0 16 4 16.4924 87.3613 88.5438 83.5225 84.7585 100.717 84.8528 101.272 85.5102 101.98 86.3481 96.7471 98.0612 92.7793 94.1488 88.8144 90.2441 120 120.266 120.067 76.1052 88.3629 76.4199 84.3801 80.399 128.062 112.641 
16.4924 17.8885 12.6491 14.4222 8.94427 11.3137 5.65685 8.94427 4 8 16 0 16.4924 4 102.84 103.846 98.9545 100 100.08 84.0952 100 84 100.08 84.0952 96.0833 96.0833 92.0869 92.0869 88.0909 88.0909 136 136.235 136.059 76.9415 88.3629 76.4199 84.3801 80.399 125.028 109.179 
8 4 8.94427 5.65685 11.3137 8.94427 14.4222 12.6491 17.8885 16.4924 4 16.4924 0 16 86.3481 87.3613 82.4621 83.5225 104.69 88.8144 105.224 89.4427 105.906 90.2441 100.717 101.98 96.7471 98.0612 92.7793 94.1488 120.067 120.067 120 80.0999 92.3472 80.399 88.3629 84.3801 131.939 116.482 
17.8885 16.4924 14.4222 12.6491 11.3137 8.94427 8.94427 5.65685 8 4 16.4924 4 16 0 101.98 102.84 98.0612 98.9545 104.077 88.0909 104 88 104.077 88.0909 100.08 100.08 96.0833 96.0833 92.0869 92.0869 136.059 136.059 136 80.895 92.3472 80.399 88.3629 84.3801 128.996 113.137 
88.5438 85.5102 92.3472 89.4427 96.1665 93.3809 100 97.3242 103.846 101.272 87.3613 102.84 86.3481 101.98 0 4 4 5.65685 156.818 144.499 159.298 147.187 161.839 149.933 153.675 158.795 150.572 155.795 147.513 152.84 43.2666 39.3954 41.1825 133.207 144.941 135.882 141.873 138.852 188.043 175.727 
89.8888 86.3481 93.6376 90.2441 97.4064 94.1488 101.193 98.0612 104.995 101.98 88.5438 103.846 87.3613 102.84 4 0 5.65685 4 160 147.513 162.432 150.147 164.924 152.84 156.818 161.839 153.675 158.795 150.572 155.795 45.607 41.1825 43.2666 136.235 148.054 138.852 144.941 141.873 191.207 178.751 
84.7585 81.5843 88.5438 85.5102 92.3472 89.4427 96.1665 93.3809 100 97.3242 83.5225 98.9545 82.4621 98.0612 4 5.65685 0 4 154.402 141.873 156.818 144.499 159.298 147.187 151.208 156.205 148.054 153.154 144.941 150.147 46.6476 43.0813 44.7214 130.599 142.436 133.207 139.313 136.235 185.602 173.113 
86.1626 82.4621 89.8888 86.3481 93.6376 90.2441 97.4064 94.1488 101.193 98.0612 84.7585 100 83.5225 98.9545 5.65685 4 4 0 157.632 144.941 160 147.513 162.432 150.147 154.402 159.298 151.208 156.205 148.054 153.154 48.8262 44.7214 46.6476 133.686 145.602 136.235 142.436 139.313 188.807 176.182 
96.7471 108.665 96.3328 108.296 96.0833 108.074 96 108 96.0833 108.074 100.717 100.08 104.69 104.077 156.818 160 154.402 157.632 0 16 4 16.4924 8 17.8885 4 8.94427 8 11.3137 12 14.4222 165.602 170.552 168.048 25.2982 12.6491 24.3311 16.4924 20.3961 31.241 21.5407 
80.895 92.7793 80.399 92.3472 80.0999 92.0869 80 92 80.0999 92.0869 84.8528 84.0952 88.8144 88.0909 144.499 147.513 141.873 144.941 16 0 16.4924 4 17.8885 8 12 14.4222 8 11.3137 4 8.94427 156.461 160.897 158.644 11.3137 5.65685 8.94427 4 5.65685 44.7214 31.241 
97.3242 109.179 96.7471 108.665 96.3328 108.296 96.0833 108.074 96 108 101.272 100 105.224 104 159.298 162.432 156.818 160 4 16.4924 0 16 4 16.4924 5.65685 5.65685 8.94427 8.94427 12.6491 12.6491 168.808 173.666 171.207 26.8328 14.4222 25.2982 17.8885 21.5407 28.8444 17.8885 
81.5843 93.3809 80.895 92.7793 80.399 92.3472 80.0999 92.0869 80 92 85.5102 84 89.4427 88 147.187 150.147 144.499 147.513 16.4924 4 16 0 16.4924 4 12.6491 12.6491 8.94427 8.94427 5.65685 5.65685 159.85 164.195 161.988 14.4222 8.94427 11.3137 8 8.94427 43.0813 28.8444 
98.0612 109.836 97.3242 109.179 96.7471 108.665 96.3328 108.296 96.0833 108.074 101.98 100.08 105.906 104.077 161.839 164.924 159.298 162.432 8 17.8885 4 16.4924 0 16 8.94427 4 11.3137 8 14.4222 12 172.047 176.816 174.402 28.8444 16.9706 26.8328 20 23.3238 26.8328 14.4222 
82.4621 94.1488 81.5843 93.3809 80.895 92.7793 80.399 92.3472 80.0999 92.0869 86.3481 84.0952 90.2441 88.0909 149.933 152.84 147.187 150.147 17.8885 8 16.4924 4 16 0 14.4222 12 11.3137 8 8.94427 4 163.267 167.523 165.36 17.8885 12.6491 14.4222 12 12.6491 41.7612 26.8328 
92.7793 104.69 92.3472 104.307 92.0869 104.077 92 104 92.0869 104.077 96.7471 96.0833 100.717 100.08 153.675 156.818 151.208 154.402 4 12 5.65685 12.6491 8.94427 14.4222 0 8 4 8.94427 8 11.3137 163.218 168.048 165.602 21.5407 8.94427 20.3961 12.6491 16.4924 34.4093 23.3238 
