0 4 4 5.65685 43.0813 39.3954 41.7612 37.9473 40.7922 36.8782 
4 0 5.65685 4 46.8188 43.0813 45.607 41.7612 44.7214 40.7922 
4 5.65685 0 4 44.7214 41.1825 43.0813 39.3954 41.7612 37.9473 
5.65685 4 4 0 48.3322 44.7214 46.8188 43.0813 45.607 41.7612 
43.0813 46.8188 44.7214 48.3322 0 4 4 5.65685 8 8.94427 
39.3954 43.0813 41.1825 44.7214 4 0 5.65685 4 8.94427 8 
41.7612 45.607 43.0813 46.8188 4 5.65685 0 4 4 5.65685 
37.9473 41.7612 39.3954 43.0813 5.65685 4 4 0 5.65685 4 
40.7922 44.7214 41.7612 45.607 8 8.94427 4 5.65685 0 4 
36.8782 40.7922 37.9473 41.7612 8.94427 8 5.65685 4 4 0 
