0 4 80.895 80.399 116.276 112.925 119.867 116.619 114.543 118.186 
4 0 81.5843 80.895 112.712 109.252 116.276 112.925 110.923 114.543 
80.895 81.5843 0 4 175.727 169.8 178.393 172.557 172.743 175.454 
80.399 80.895 4 0 173.113 167.093 175.727 169.8 170.082 172.743 
116.276 112.712 175.727 173.113 0 8 4 8.94427 4 5.65685 
112.925 109.252 169.8 167.093 8 0 8.94427 4 4 5.65685 
119.867 116.276 178.393 175.727 4 8.94427 0 8 5.65685 4 
116.619 112.925 172.557 169.8 8.94427 4 8 0 5.65685 4 
114.543 110.923 172.743 170.082 4 4 5.65685 5.65685 0 4 
118.186 114.543 175.454 172.743 5.65685 5.65685 4 4 4 0 
