0 4 229.713 216.813 232.034 219.272 234.401 221.775 236.812 224.321 
4 0 232.998 220 235.287 222.423 237.622 224.891 240 227.403 
229.713 232.998 0 16 4 16.4924 8 17.8885 12 20 
216.813 220 16 0 16.4924 4 17.8885 8 20 12 
232.034 235.287 4 16.4924 0 16 4 16.4924 8 17.8885 
219.272 222.423 16.4924 4 16 0 16.4924 4 17.8885 8 
234.401 237.622 8 17.8885 4 16.4924 0 16 4 16.4924 
221.775 224.891 17.8885 8 16.4924 4 16 0 16.4924 4 
236.812 240 12 20 8 17.8885 4 16.4924 0 16 
224.321 227.403 20 12 17.8885 8 16.4924 4 16 0 
