0 4 8 12 16 95.4149 98.7927 102.215 105.679 44 44.1814 40 40.1995 36 36.2215 32 32.249 28 28.2843 117.644 124.258 120.93 67.0522 65.1153 70.8802 69.0507 74.7262 72.9932 78.5875 76.9415 65.9697 77.666 114.543 125.539 112.925 124.064 111.427 122.703 110.055 121.458 118.186 113.842 121.852 117.644 66.2118 63.2456 62.6099 59.4643 64.622 60.9262 94.1488 98.0612 101.98 105.906 83.5225 81.5843 87.3613 85.5102 91.214 89.4427 95.0789 93.3809 82.4621 137.928 144.941 136 143.108 141.421 139.542 96.0833 108.074 96.3328 108.296 96.7471 108.665 100.08 100.717 104.077 104.69 79.6994 
4 0 4 8 12 92.0869 95.4149 98.7927 102.215 48 48.1664 44 44.1814 40 40.1995 36 36.2215 32 32.249 120 126.491 123.223 63.2456 61.1882 67.0522 65.1153 70.8802 69.0507 74.7262 72.9932 62.0967 73.7564 116.276 127.122 114.543 125.539 112.925 124.064 111.427 122.703 119.867 115.169 123.483 118.929 69.857 67.0522 66.2118 63.2456 68.352 64.622 90.2441 94.1488 98.0612 101.98 79.6994 77.666 83.5225 81.5843 87.3613 85.5102 91.214 89.4427 78.5875 139.943 146.86 137.928 144.941 143.388 141.421 96 108 96.0833 108.074 96.3328 108.296 100 100.319 104 104.307 78.5875 
8 4 0 4 8 88.8144 92.0869 95.4149 98.7927 52 52.1536 48 48.1664 44 44.1814 40 40.1995 36 36.2215 122.442 128.81 125.603 59.4643 57.2713 63.2456 61.1882 67.0522 65.1153 70.8802 69.0507 58.2409 69.857 118.119 128.81 116.276 127.122 114.543 125.539 112.925 124.064 121.655 116.619 125.22 120.333 73.5391 70.8802 69.857 67.0522 72.111 68.352 86.3481 90.2441 94.1488 98.0612 75.8947 73.7564 79.6994 77.666 83.5225 81.5843 87.3613 85.5102 74.7262 142.042 148.862 139.943 146.86 145.437 143.388 96.0833 108.074 96 108 96.0833 108.074 100.08 100.08 104.077 104.077 77.666 
12 8 4 0 4 85.6037 88.8144 92.0869 95.4149 56 56.1427 52 52.1536 48 48.1664 44 44.1814 40 40.1995 124.964 131.21 128.062 55.7136 53.3667 59.4643 57.2713 63.2456 61.1882 67.0522 65.1153 54.4059 65.9697 120.067 130.599 118.119 128.81 116.276 127.122 114.543 125.539 123.548 118.186 127.059 121.852 77.2528 74.7262 73.5391 70.8802 75.8947 72.111 82.4621 86.3481 90.2441 94.1488 72.111 69.857 75.8947 73.7564 79.6994 77.666 83.5225 81.5843 70.8802 144.222 150.944 142.042 148.862 147.567 145.437 96.3328 108.296 96.0833 108.074 96 108 100.319 100 104.307 104 76.9415 
16 12 8 4 0 82.4621 85.6037 88.8144 92.0869 60 60.1332 56 56.1427 52 52.1536 48 48.1664 44 44.1814 127.562 133.686 130.599 52 49.4773 55.7136 53.3667 59.4643 57.2713 63.2456 61.1882 50.5964 62.0967 122.115 132.484 120.067 130.599 118.119 128.81 116.276 127.122 125.539 119.867 128.996 123.483 80.9938 78.5875 77.2528 74.7262 79.6994 75.8947 78.5875 82.4621 86.3481 90.2441 68.352 65.9697 72.111 69.857 75.8947 73.7564 79.6994 77.666 67.0522 146.479 153.101 144.222 150.944 149.773 147.567 96.7471 108.665 96.3328 108.296 96.0833 108.074 100.717 100.08 104.69 104.077 76.4199 
95.4149 92.0869 88.8144 85.6037 82.4621 0 4 8 12 134.462 136.059 130.782 132.424 127.122 128.81 123.483 125.22 119.867 121.655 209.304 215.035 212.151 35.7771 43.0813 34.176 41.7612 32.9848 40.7922 32.249 40.1995 39.3954 36.2215 201.792 211.206 199.279 208.806 196.815 206.456 194.402 204.157 204.9 197.626 208.038 200.878 142.042 143.611 138.101 139.714 142.773 138.852 34.176 35.7771 37.7359 40 28 36 28.2843 36.2215 29.1204 36.8782 30.4631 37.9473 32 226.91 233.032 224.321 230.512 229.957 227.403 166.373 177.133 164.584 175.454 162.874 173.851 169.941 166.517 173.528 170.176 139.714 
98.7927 95.4149 92.0869 88.8144 85.6037 4 0 4 8 138.159 139.714 134.462 136.059 130.782 132.424 127.122 128.81 123.483 125.22 212.151 217.807 214.96 37.7359 44.7214 35.7771 43.0813 34.176 41.7612 32.9848 40.7922 41.1825 36.8782 204.353 213.654 201.792 211.206 199.279 208.806 196.815 206.456 207.422 200 210.523 203.214 145.986 147.513 142.042 143.611 146.697 142.773 32.9848 34.176 35.7771 37.7359 28.2843 36.2215 28 36 28.2843 36.2215 29.1204 36.8782 32.249 229.539 235.593 226.91 233.032 232.551 229.957 168.238 178.885 166.373 177.133 164.584 175.454 171.767 168.19 175.317 171.814 141.365 
102.215 98.7927 95.4149 92.0869 88.8144 8 4 0 4 141.873 143.388 138.159 139.714 134.462 136.059 130.782 132.424 127.122 128.81 215.035 220.617 217.807 40 46.6476 37.7359 44.7214 35.7771 43.0813 34.176 41.7612 43.2666 37.9473 206.959 216.148 204.353 213.654 201.792 211.206 199.279 208.806 209.99 202.425 213.054 205.602 149.933 151.42 145.986 147.513 150.625 146.697 32.249 32.9848 34.176 35.7771 29.1204 36.8782 28.2843 36.2215 28 36 28.2843 36.2215 32.9848 232.207 238.193 229.539 235.593 235.185 232.551 170.176 180.71 168.238 178.885 166.373 177.133 173.666 169.941 177.178 173.528 143.108 
105.679 102.215 98.7927 95.4149 92.0869 12 8 4 0 145.602 147.078 141.873 143.388 138.159 139.714 134.462 136.059 130.782 132.424 217.954 223.464 220.69 42.5206 48.8262 40 46.6476 37.7359 44.7214 35.7771 43.0813 45.607 39.3954 209.609 218.687 206.959 216.148 204.353 213.654 201.792 211.206 212.603 204.9 215.629 208.038 153.883 155.332 149.933 151.42 154.557 150.625 32 32.249 32.9848 34.176 30.4631 37.9473 29.1204 36.8782 28.2843 36.2215 28 36 34.176 234.913 240.832 232.207 238.193 237.857 235.185 172.186 182.603 170.176 180.71 168.238 178.885 175.636 171.767 179.109 175.317 144.941 
44 48 52 56 60 134.462 138.159 141.873 145.602 0 4 4 5.65685 8 8.94427 12 12.6491 16 16.4924 98.9545 106.733 102.84 109.836 108.665 113.772 112.641 117.712 116.619 121.655 120.599 109.179 121.062 104.077 116.069 104 116 104.077 116.069 104.307 116.276 108.074 108.296 112.071 112.285 32.249 25.6125 30.4631 23.3238 28.8444 26.8328 137.463 141.421 145.382 149.345 126.301 125.028 130.231 128.996 134.164 132.966 138.101 136.938 125.603 122.376 130.231 121.655 129.553 126.301 125.603 107.331 118.186 109.179 119.867 111.14 121.655 110.923 114.612 114.543 118.119 101.98 
