0 16 4 8 12 186.59 183.172 179.778 176.409 157.632 
16 0 12 8 4 178.885 175.317 171.767 168.238 144.941 
4 12 0 4 8 184.564 181.108 177.674 174.264 154.402 
8 8 4 0 4 182.603 179.109 175.636 172.186 151.208 
12 4 8 4 0 180.71 177.178 173.666 170.176 148.054 
186.59 178.885 184.564 182.603 180.71 0 4 8 12 75.1532 
183.172 175.317 181.108 179.109 177.178 4 0 4 8 71.5542 
179.778 171.767 177.674 175.636 173.666 8 4 0 4 68 
176.409 168.238 174.264 172.186 170.176 12 8 4 0 64.4981 
157.632 144.941 154.402 151.208 148.054 75.1532 71.5542 68 64.4981 0 
